,guest_size,total_interactions,message_length,total_reviews,lead_time,days_of_stay,reply_t,accepted,rt_Entire_home/apt,rt_Private room,rt_Shared room,contact_me,past_booker
7853,2.0,2,69.0,0.0,26,4,4.016666666666668,0,0,1,0,1,0
7854,1.0,3,195.0,4.0,50,11,155.05,0,0,1,0,0,0
7855,4.0,4,106.0,0.0,89,3,93.9,0,1,0,0,1,0
7856,7.0,4,383.0,0.0,215,4,14.05,0,1,0,0,0,0
7857,6.0,2,286.0,0.0,22,31,521.5000000000001,0,1,0,0,1,1
7859,3.0,7,244.0,9.0,37,7,70.88333333333334,0,1,0,0,0,0
7860,3.0,5,373.0,0.0,3,3,1264.9833333333333,0,1,0,0,1,1
7868,1.0,14,545.0,3.0,84,8,138.58333333333334,0,1,0,0,0,1
7869,4.0,5,191.0,0.0,64,9,342.15,0,1,0,0,1,1
7871,6.0,14,57.0,5.0,33,3,1.7333333333333334,1,1,0,0,0,0
7872,4.0,3,181.0,0.0,66,7,182.46666666666667,0,1,0,0,1,0
7877,2.0,7,42.0,3.0,158,23,1.05,1,1,0,0,1,0
7879,3.0,5,0.0,15.0,99,12,7.816666666666667,1,1,0,0,0,1
7880,1.0,15,79.0,0.0,41,62,8.283333333333335,1,1,0,0,1,0
7882,2.0,4,99.0,0.0,165,2,3420.933333333333,0,1,0,0,1,0
7884,4.0,8,156.0,0.0,154,6,191.78333333333333,0,1,0,0,1,1
7885,2.0,17,237.0,0.0,91,5,1002.7166666666667,1,1,0,0,1,1
7886,1.0,3,59.0,1.0,19,8,85.78333333333333,1,0,0,1,0,1
7887,2.0,28,47.0,0.0,129,10,704.6833333333333,1,1,0,0,1,0
7890,4.0,3,128.0,0.0,30,7,2122.316666666667,1,1,0,0,1,0
7893,2.0,5,146.0,46.0,5,4,6.566666666666666,0,1,0,0,1,1
7897,3.0,6,108.0,6.0,26,3,61.88333333333334,0,0,1,0,1,0
7898,2.0,5,402.0,0.0,59,23,375.06666666666666,0,1,0,0,0,0
7900,1.0,3,205.0,0.0,182,4,1014.9500000000003,0,1,0,0,1,0
7902,6.0,2,46.0,0.0,273,5,4.633333333333334,0,1,0,0,1,0
7903,3.0,3,331.0,49.0,20,3,11.883333333333333,1,1,0,0,1,0
7905,3.0,2,154.0,3.0,208,3,2201.383333333333,0,1,0,0,1,0
7906,1.0,7,535.0,46.0,97,4,70.21666666666667,0,1,0,0,1,1
7908,1.0,3,424.0,0.0,29,4,23.8,1,1,0,0,1,0
7909,2.0,4,100.0,42.0,1,3,26.11666666666667,0,1,0,0,0,1
7912,2.0,7,0.0,2.0,117,2,818.7166666666667,1,0,1,0,0,1
7913,1.0,17,469.0,6.0,205,7,2.316666666666667,1,1,0,0,0,0
7914,7.0,2,0.0,11.0,203,3,176.56666666666663,0,1,0,0,0,0
7917,6.0,8,102.0,1.0,161,11,1.3666666666666667,1,1,0,0,1,1
7920,1.0,9,267.0,34.0,1,4,6.5166666666666675,0,0,1,0,1,1
7923,1.0,4,140.0,0.0,22,3,9.7,0,1,0,0,1,1
7924,2.0,6,146.0,0.0,19,4,6.316666666666666,1,0,0,1,1,0
7927,1.0,9,131.0,10.0,74,2,699.8333333333335,0,0,1,0,0,1
7929,3.0,64,57.0,3.0,198,9,2378.0,0,1,0,0,1,0
7931,2.0,6,193.0,5.0,86,3,30.78333333333334,1,1,0,0,1,0
7932,2.0,2,0.0,0.0,3,7,86.75,0,1,0,0,0,1
7933,1.0,11,161.0,15.0,2,16,16.433333333333334,0,1,0,0,1,1
7936,1.0,6,407.0,11.0,1,3,269.90000000000003,0,1,0,0,1,0
7937,2.0,7,0.0,10.0,0,3,33.00000000000001,1,1,0,0,0,1
7938,2.0,23,116.0,13.0,192,5,7.416666666666668,1,0,1,0,1,0
7939,2.0,3,28.0,10.0,13,5,0.0,0,0,1,0,1,0
7941,5.0,2,103.0,37.0,195,8,714.8666666666667,0,1,0,0,1,0
7945,2.0,25,220.0,1.0,82,11,316.45,1,0,1,0,0,1
7946,6.0,9,16.0,1.0,94,23,1064.3000000000004,0,1,0,0,0,0
7948,2.0,6,269.0,18.0,15,2,71.4,0,1,0,0,0,0
7949,4.0,2,332.0,0.0,119,5,1276.8833333333334,0,1,0,0,1,0
7954,2.0,4,99.0,1.0,61,1,109.81666666666666,0,0,1,0,0,1
7955,2.0,4,67.0,0.0,102,2,151.31666666666666,0,1,0,0,1,1
7956,1.0,8,56.0,5.0,99,22,13.0,0,0,1,0,1,0
7959,2.0,2,76.0,10.0,164,14,1695.95,0,1,0,0,1,0
7960,5.0,5,274.0,27.0,50,9,14.716666666666667,1,1,0,0,1,0
7961,2.0,25,108.0,0.0,47,2,414.7166666666666,1,1,0,0,1,0
7962,6.0,5,178.0,0.0,134,31,1608.6833333333334,0,1,0,0,1,0
7963,5.0,4,1737.0,0.0,161,2,21.75,0,1,0,0,1,1
7965,5.0,5,230.0,5.0,195,5,2.35,0,1,0,0,0,0
7967,2.0,2,269.0,0.0,32,1,224.56666666666663,0,0,1,0,0,1
7968,6.0,5,339.0,31.0,38,9,4.35,1,1,0,0,1,0
7970,2.0,6,175.0,0.0,18,3,210.03333333333333,0,1,0,0,1,0
7972,2.0,3,347.0,0.0,29,14,1494.8666666666666,0,0,1,0,1,0
7973,2.0,2,226.0,3.0,84,2,3196.25,0,1,0,0,1,1
7974,1.0,3,619.0,13.0,3,1,48.03333333333333,0,1,0,0,1,0
7975,2.0,4,245.0,0.0,90,5,9.683333333333334,1,1,0,0,1,0
7976,2.0,4,140.0,2.0,106,6,1383.7666666666669,0,0,1,0,0,0
7977,1.0,22,432.0,0.0,79,20,6.033333333333332,0,1,0,0,1,1
7981,4.0,2,619.0,5.0,193,7,30.08333333333333,0,1,0,0,1,0
7982,4.0,2,270.0,1.0,87,1,2571.0666666666666,0,1,0,0,1,1
7983,2.0,2,78.0,81.0,15,6,342.45,0,1,0,0,1,0
7984,5.0,21,191.0,2.0,141,5,6.583333333333332,1,1,0,0,1,0
7985,1.0,6,232.0,9.0,195,21,573.2333333333332,0,0,1,0,0,0
7986,5.0,4,158.0,0.0,23,4,176.01666666666668,0,1,0,0,1,0
7990,2.0,3,117.0,0.0,54,3,126.71666666666668,0,1,0,0,0,1
7992,2.0,2,158.0,9.0,53,9,9.516666666666667,0,0,1,0,1,0
7994,4.0,3,798.0,0.0,84,6,37.85,1,1,0,0,1,0
7995,2.0,3,744.0,61.0,196,7,401.73333333333335,0,1,0,0,0,0
7997,3.0,16,0.0,14.0,10,4,5.9,1,1,0,0,0,0
7998,2.0,16,100.0,2.0,0,2,57.01666666666666,1,0,1,0,1,1
8002,2.0,2,237.0,0.0,0,4,0.2500000000000001,0,0,1,0,0,0
8003,2.0,12,256.0,8.0,1,7,54.73333333333333,1,0,1,0,0,0
8004,6.0,4,87.0,20.0,290,11,352.35,0,1,0,0,1,0
8009,2.0,3,37.0,0.0,94,7,1.4833333333333334,0,1,0,0,1,0
8010,2.0,5,197.0,20.0,152,20,165.53333333333333,0,1,0,0,0,0
8011,2.0,10,503.0,5.0,110,10,634.9666666666667,1,1,0,0,1,0
8012,2.0,16,110.0,32.0,42,5,0.05,1,0,1,0,0,0
8015,3.0,3,115.0,0.0,4,5,221.21666666666667,0,1,0,0,1,1
8016,1.0,7,125.0,17.0,7,7,192.03333333333333,0,0,1,0,0,1
8019,2.0,2,128.0,2.0,124,3,277.1,0,1,0,0,1,0
8020,2.0,9,815.0,0.0,111,3,1419.333333333333,0,0,1,0,1,1
8022,1.0,2,105.0,1.0,22,86,49214.01666666667,0,0,1,0,1,1
8023,2.0,2,192.0,2.0,12,92,4257.416666666667,0,1,0,0,1,0
8026,7.0,4,281.0,0.0,26,2,4232.616666666667,1,0,1,0,1,0
8028,1.0,76,356.0,34.0,57,6,44.3,1,1,0,0,0,0
8031,1.0,30,123.0,0.0,151,20,976.8833333333334,1,0,0,1,0,1
8032,3.0,12,209.0,24.0,6,4,6.716666666666668,1,1,0,0,0,0
8033,5.0,2,64.0,2.0,30,5,131.48333333333335,0,1,0,0,1,0
8036,2.0,2,203.0,5.0,208,10,953.1833333333333,0,1,0,0,1,0
8037,1.0,18,122.0,13.0,0,2,4.066666666666666,1,0,1,0,1,0
8039,2.0,3,121.0,3.0,219,10,3653.0333333333333,0,1,0,0,1,0
8046,1.0,3,93.0,0.0,98,5,43845.2,0,1,0,0,0,1
8047,2.0,7,22.0,20.0,68,5,15.233333333333334,1,1,0,0,0,0
8048,4.0,5,6.0,3.0,25,4,677.9333333333333,0,1,0,0,1,0
8051,3.0,4,69.0,0.0,7,2,544.0833333333334,0,1,0,0,0,0
8052,1.0,7,211.0,2.0,58,14,126.1,0,1,0,0,1,1
8053,2.0,5,364.0,0.0,209,1,43.81666666666667,0,0,1,0,0,0
8055,2.0,2,179.0,1.0,30,4,103.11666666666666,0,0,1,0,1,0
8057,4.0,4,175.0,0.0,2,3,297.8833333333333,0,1,0,0,1,0
8061,6.0,2,232.0,1.0,23,5,7.3,0,1,0,0,1,0
8064,2.0,3,143.0,2.0,89,3,80.06666666666666,1,0,1,0,1,0
8065,2.0,7,372.0,0.0,25,4,3142.833333333333,0,1,0,0,1,0
8067,2.0,23,348.0,36.0,56,4,13.516666666666667,1,1,0,0,1,0
8068,1.0,3,52.0,0.0,19,7,9.266666666666667,1,1,0,0,1,0
8073,2.0,2,520.0,1.0,4,4,758.3,0,1,0,0,0,0
8074,6.0,24,0.0,0.0,197,5,1119.0833333333333,0,1,0,0,0,0
8075,4.0,4,47.0,4.0,20,4,312.3833333333333,0,1,0,0,1,1
8078,5.0,4,85.0,15.0,23,2,276.23333333333335,1,1,0,0,1,1
8083,2.0,8,267.0,3.0,182,17,187.35,1,0,1,0,0,0
8086,2.0,5,55.0,2.0,248,4,65.01666666666668,0,1,0,0,1,1
8089,4.0,3,376.0,0.0,24,3,17.933333333333334,1,1,0,0,1,0
8094,6.0,6,119.0,4.0,4,3,3.733333333333333,1,1,0,0,1,1
8095,6.0,23,37.0,0.0,142,9,358.41666666666674,1,1,0,0,1,0
8099,4.0,2,443.0,3.0,207,22,268.85,0,1,0,0,1,0
8102,3.0,18,791.0,24.0,81,10,35.05,1,1,0,0,1,1
8104,2.0,7,152.0,12.0,7,3,6.4833333333333325,1,1,0,0,1,0
8105,2.0,14,45.0,0.0,83,5,39.16666666666666,1,0,1,0,1,1
8106,7.0,22,364.0,0.0,4,1,310.15,1,1,0,0,1,0
8108,6.0,8,275.0,3.0,269,4,721.4666666666667,0,1,0,0,1,0
8110,2.0,12,0.0,16.0,2,6,328.4166666666667,1,0,0,1,0,1
8111,4.0,3,79.0,0.0,107,3,198.06666666666663,0,1,0,0,1,1
8112,2.0,3,0.0,1.0,114,3,661.6333333333333,0,0,1,0,0,0
8113,2.0,2,163.0,1.0,6,10,4717.516666666666,0,1,0,0,0,1
8114,2.0,3,246.0,32.0,161,4,4.050000000000002,0,1,0,0,0,0
8116,2.0,6,233.0,2.0,106,9,3202.666666666666,0,1,0,0,1,0
8118,1.0,7,448.0,5.0,22,3,2.4833333333333334,0,1,0,0,1,0
8119,8.0,2,113.0,3.0,31,4,4612.5,0,1,0,0,1,0
8120,6.0,2,182.0,10.0,28,6,505.11666666666673,0,1,0,0,1,1
8122,1.0,6,96.0,0.0,21,3,2.0500000000000003,0,1,0,0,1,0
8123,1.0,7,141.0,0.0,86,4,307.01666666666665,1,1,0,0,1,0
8129,2.0,3,314.0,0.0,119,10,133.60000000000002,0,1,0,0,1,0
8131,4.0,2,128.0,0.0,22,11,176.31666666666663,0,1,0,0,1,0
8133,1.0,7,777.0,11.0,17,11,6.2,1,1,0,0,1,0
8134,2.0,35,111.0,7.0,0,3,34.050000000000004,1,1,0,0,1,1
8139,1.0,3,212.0,0.0,19,91,2393.616666666667,1,1,0,0,1,0
8142,4.0,9,162.0,1.0,168,2,9.9,0,1,0,0,1,1
8143,4.0,2,237.0,6.0,204,4,508.7666666666667,0,1,0,0,1,0
8148,4.0,2,250.0,23.0,306,14,2329.383333333333,0,1,0,0,1,1
8151,3.0,10,336.0,25.0,55,3,155.66666666666666,1,1,0,0,1,1
8153,3.0,7,189.0,41.0,68,30,0.7,0,1,0,0,1,1
8154,1.0,4,165.0,0.0,79,2,107.88333333333334,0,1,0,0,0,1
8156,2.0,5,691.0,24.0,204,6,53.6,0,1,0,0,1,0
8157,2.0,5,160.0,0.0,37,6,380.7166666666666,1,0,1,0,1,0
8158,2.0,30,219.0,1.0,3,21,7.916666666666668,0,1,0,0,1,0
8159,2.0,3,15.0,0.0,74,3,33.38333333333334,0,1,0,0,1,0
8160,6.0,4,160.0,0.0,24,4,7.700000000000001,1,1,0,0,1,0
8161,2.0,3,166.0,0.0,98,32,2548.8166666666666,0,1,0,0,0,0
8162,3.0,10,576.0,0.0,59,12,1052.6666666666667,0,1,0,0,0,0
8163,2.0,14,0.0,24.0,115,8,56.53333333333333,1,1,0,0,0,1
8164,1.0,5,210.0,0.0,79,14,429.91666666666674,0,0,1,0,1,0
8168,2.0,3,130.0,7.0,35,1,17.01666666666667,0,1,0,0,0,1
8169,2.0,12,75.0,5.0,96,8,2.216666666666667,1,1,0,0,0,0
8170,3.0,40,443.0,0.0,136,16,107.23333333333332,0,1,0,0,1,0
8171,3.0,4,197.0,5.0,63,3,583.4,1,1,0,0,0,0
8172,1.0,5,162.0,0.0,32,6,159.23333333333332,1,0,1,0,0,1
8174,2.0,2,62.0,3.0,31,4,593.65,0,1,0,0,0,0
8176,2.0,7,138.0,0.0,189,7,2969.583333333333,0,0,0,1,1,0
8178,4.0,2,20.0,1.0,10,4,258.9666666666667,0,1,0,0,1,0
8179,4.0,11,149.0,0.0,98,2,214.7,1,1,0,0,1,0
8180,3.0,9,44.0,2.0,19,9,36.73333333333333,1,1,0,0,1,0
8181,2.0,16,17.0,0.0,111,2,38.8,0,1,0,0,0,1
8182,2.0,3,78.0,4.0,17,4,1590.15,0,1,0,0,1,0
8184,5.0,4,249.0,10.0,32,4,1441.9,1,1,0,0,1,0
8185,1.0,3,231.0,0.0,5,96,230.15,0,1,0,0,1,0
8186,5.0,4,170.0,1.0,266,5,732.8,1,1,0,0,1,0
8188,1.0,13,0.0,2.0,126,4,272.3,1,0,1,0,0,0
8191,4.0,17,430.0,2.0,24,4,1658.9833333333331,0,0,1,0,0,1
8193,1.0,56,199.0,2.0,0,4,9.583333333333334,1,0,1,0,0,1
8194,1.0,5,145.0,5.0,4,13,29.216666666666665,1,0,1,0,1,0
8196,2.0,3,217.0,1.0,24,3,99.71666666666668,0,0,1,0,1,0
8197,10.0,3,260.0,0.0,9,5,0.0,0,1,0,0,0,0
8201,2.0,11,250.0,0.0,88,12,4.566666666666666,1,1,0,0,1,0
8202,2.0,3,72.0,0.0,8,1,481.16666666666674,0,0,1,0,0,1
8204,2.0,3,107.0,0.0,52,10,346.88333333333327,1,1,0,0,1,0
8207,2.0,5,365.0,27.0,24,6,17.516666666666666,0,1,0,0,0,0
8208,6.0,2,463.0,0.0,143,9,553.2833333333333,0,1,0,0,0,0
8210,3.0,13,0.0,51.0,0,2,339.76666666666665,1,1,0,0,0,1
8214,2.0,11,175.0,0.0,0,4,269.8,1,0,1,0,1,1
8215,2.0,3,155.0,5.0,0,1,623.1,0,1,0,0,0,0
8218,2.0,2,465.0,1.0,1,3,162.18333333333334,0,1,0,0,1,0
8222,1.0,2,53.0,35.0,17,2,24.5,0,0,1,0,1,0
8223,1.0,10,289.0,13.0,149,2,141.91666666666666,1,1,0,0,1,1
8224,1.0,39,907.0,1.0,61,3,16.416666666666668,1,0,1,0,1,0
8226,2.0,2,129.0,3.0,105,13,1333.9166666666667,0,0,1,0,1,1
8229,1.0,15,118.0,0.0,210,14,5261.7,1,1,0,0,1,0
8232,6.0,4,206.0,0.0,6,6,385.61666666666673,0,1,0,0,1,0
8234,4.0,4,38.0,0.0,51,4,570.8333333333334,1,1,0,0,1,0
8235,2.0,3,487.0,0.0,197,1,5721.3166666666675,0,1,0,0,1,1
8236,2.0,4,285.0,6.0,193,8,1070.6666666666667,0,1,0,0,0,0
8239,3.0,2,458.0,81.0,0,1,67.05000000000001,0,1,0,0,1,0
8240,4.0,11,148.0,149.0,278,5,43.46666666666667,1,1,0,0,1,1
8241,5.0,2,52.0,0.0,10,4,1691.216666666667,0,1,0,0,1,0
8244,4.0,3,295.0,0.0,7,3,7145.9333333333325,0,1,0,0,1,1
8246,4.0,3,158.0,3.0,115,5,34.55,0,1,0,0,0,0
8248,2.0,4,0.0,6.0,9,3,509.15,0,1,0,0,0,0
8249,4.0,5,156.0,0.0,62,11,1469.8666666666666,0,0,0,1,1,0
8250,8.0,5,87.0,0.0,31,4,221.0,1,1,0,0,1,0
8251,3.0,2,170.0,3.0,160,7,16847.416666666668,0,0,0,1,1,0
8252,5.0,14,164.0,0.0,21,6,5.2,0,1,0,0,1,0
8253,5.0,13,494.0,77.0,52,2,151.16666666666666,1,1,0,0,1,0
8254,1.0,8,104.0,14.0,7,16,9.933333333333334,0,1,0,0,1,1
8255,8.0,2,354.0,1.0,211,3,0.0,0,1,0,0,1,0
8257,1.0,5,281.0,3.0,8,4,281.3,1,0,1,0,0,0
8258,2.0,2,73.0,0.0,24,16,550.2,0,1,0,0,1,1
8260,2.0,2,129.0,1.0,191,7,14.55,0,1,0,0,1,0
8261,3.0,3,531.0,0.0,73,11,401.8,0,1,0,0,1,0
8262,1.0,11,195.0,72.0,29,4,11.65,0,0,1,0,1,0
8264,8.0,2,55.0,0.0,166,2,19.416666666666668,0,1,0,0,1,0
8268,1.0,8,24.0,16.0,38,10,0.0,0,1,0,0,1,0
8274,2.0,11,368.0,37.0,6,1,84.08333333333333,1,1,0,0,1,1
8275,3.0,9,212.0,3.0,22,1,114.46666666666668,1,1,0,0,0,1
8276,1.0,5,0.0,75.0,1,1,27.15,0,0,1,0,0,1
8277,1.0,8,217.0,9.0,0,2,27.63333333333333,1,0,1,0,0,1
8278,2.0,16,238.0,0.0,44,6,561.0166666666668,1,1,0,0,0,1
8281,5.0,2,684.0,1.0,181,27,2751.433333333333,0,0,0,1,1,0
8283,4.0,23,194.0,4.0,87,6,4.183333333333334,1,1,0,0,0,0
8284,4.0,3,94.0,0.0,102,3,369.53333333333336,0,1,0,0,1,0
8288,2.0,3,98.0,0.0,184,1,425.31666666666666,0,0,1,0,1,1
8289,1.0,5,317.0,1.0,134,2,31.91666666666667,1,0,1,0,1,0
8291,2.0,3,444.0,19.0,27,8,3014.483333333333,0,1,0,0,1,1
8292,3.0,7,185.0,0.0,214,20,373.85,0,1,0,0,1,0
8293,2.0,3,21.0,0.0,101,17,195.16666666666663,0,1,0,0,0,1
8295,4.0,8,249.0,20.0,44,3,195.7,1,1,0,0,1,0
8296,1.0,2,52.0,0.0,22,4,79.33333333333333,0,1,0,0,1,1
8300,2.0,45,35.0,0.0,71,14,43.18333333333333,1,1,0,0,0,1
8301,1.0,13,345.0,1.0,13,3,7.7666666666666675,1,0,1,0,1,0
8302,1.0,5,562.0,9.0,39,17,8.000000000000002,1,1,0,0,1,0
8303,2.0,8,63.0,0.0,136,2,237.83333333333331,0,0,1,0,1,0
8304,2.0,3,0.0,0.0,206,1,13199.116666666667,0,1,0,0,0,0
8305,3.0,4,177.0,0.0,68,6,6.433333333333334,0,1,0,0,0,0
8306,6.0,2,220.0,25.0,30,3,187.2333333333333,0,1,0,0,1,0
8308,1.0,2,188.0,1.0,3,1,687.9166666666665,0,0,1,0,1,1
8309,2.0,4,7.0,16.0,32,2,31.46666666666667,0,1,0,0,1,0
8310,4.0,5,215.0,0.0,201,7,69.61666666666666,0,1,0,0,1,0
8312,1.0,2,409.0,0.0,78,9,53.18333333333333,0,0,1,0,1,0
8314,2.0,19,53.0,5.0,90,5,2.316666666666667,1,0,1,0,0,0
8315,6.0,3,255.0,0.0,22,4,715.05,0,1,0,0,1,0
8316,2.0,5,116.0,1.0,191,3,930.9333333333333,0,1,0,0,1,0
8318,1.0,6,277.0,0.0,76,2,15.183333333333335,1,0,1,0,1,1
8320,5.0,5,132.0,0.0,8,4,418.6,0,1,0,0,1,1
8322,3.0,2,50.0,6.0,18,13,32.16666666666667,0,1,0,0,0,0
8323,1.0,21,192.0,103.0,120,6,2.55,1,0,1,0,1,0
8324,2.0,5,278.0,1.0,55,4,4338.133333333334,0,1,0,0,0,1
8325,2.0,2,102.0,0.0,100,8,838.6166666666667,0,1,0,0,1,0
8326,2.0,17,192.0,28.0,51,6,8.333333333333334,1,1,0,0,0,0
8327,1.0,3,170.0,14.0,6,1,29.38333333333333,0,0,1,0,0,1
8330,2.0,5,179.0,0.0,126,4,835.55,0,1,0,0,0,1
8336,2.0,9,170.0,0.0,5,2,289.2,0,0,1,0,1,0
8337,2.0,3,142.0,36.0,209,17,999.5,0,1,0,0,0,0
8338,1.0,6,376.0,0.0,17,28,312.03333333333336,0,0,1,0,0,1
8339,2.0,6,476.0,48.0,179,3,996.8,0,1,0,0,1,0
8341,3.0,3,407.0,0.0,57,1,863.1166666666667,0,1,0,0,1,0
8345,2.0,5,416.0,14.0,43,9,6.6,1,1,0,0,1,0
8346,1.0,15,121.0,85.0,49,8,31.11666666666667,1,1,0,0,0,1
8349,6.0,10,92.0,1.0,199,1,13.483333333333333,0,1,0,0,0,1
8350,6.0,4,191.0,0.0,74,3,627.3,0,1,0,0,1,1
8351,3.0,5,29.0,0.0,36,4,2.466666666666667,1,1,0,0,1,1
8354,4.0,4,287.0,10.0,69,8,38.81666666666667,1,1,0,0,1,0
8355,3.0,4,126.0,0.0,27,4,3569.2,0,1,0,0,0,1
8356,2.0,5,177.0,4.0,0,2,35.36666666666667,0,0,1,0,0,1
8360,6.0,3,174.0,1.0,50,22,285.31666666666666,1,1,0,0,1,0
8362,4.0,8,244.0,0.0,183,7,46.95,0,1,0,0,1,1
8367,4.0,4,0.0,0.0,143,6,3033.333333333333,0,1,0,0,0,0
8368,4.0,10,219.0,1.0,75,6,50.45,1,0,0,1,1,1
8369,2.0,2,120.0,74.0,9,2,180.81666666666663,0,0,1,0,1,0
8371,1.0,4,175.0,37.0,50,1,6.416666666666668,0,1,0,0,1,0
8372,2.0,10,500.0,4.0,150,3,35.38333333333333,0,1,0,0,0,1
8377,2.0,2,282.0,0.0,152,8,1269.2166666666667,0,1,0,0,1,0
8379,3.0,2,50.0,12.0,196,10,3714.5,0,1,0,0,1,1
8380,1.0,15,610.0,8.0,210,10,368.2166666666666,0,1,0,0,1,1
8384,1.0,2,169.0,0.0,102,8,70.35,0,0,1,0,1,0
8385,4.0,4,42.0,1.0,205,8,318.1166666666667,0,1,0,0,0,0
8387,1.0,4,231.0,0.0,68,35,876.95,0,1,0,0,0,0
8388,2.0,12,150.0,77.0,29,4,70.25,1,1,0,0,0,0
8389,2.0,11,265.0,0.0,114,5,3.716666666666667,1,1,0,0,1,0
8391,2.0,6,410.0,0.0,193,2,37.81666666666667,0,0,1,0,1,0
8392,6.0,25,278.0,10.0,146,9,477.6833333333333,0,1,0,0,1,0
8394,2.0,5,0.0,3.0,108,8,612.35,0,1,0,0,0,0
8396,2.0,8,214.0,0.0,56,2,61.58333333333334,0,1,0,0,1,0
8397,6.0,4,361.0,19.0,135,3,50.56666666666667,1,1,0,0,1,0
8398,5.0,3,292.0,18.0,124,3,258.53333333333336,1,1,0,0,1,0
8399,4.0,44,421.0,23.0,52,12,6.816666666666666,1,1,0,0,1,0
8400,2.0,18,50.0,22.0,46,7,54.75,1,1,0,0,0,0
8401,2.0,8,270.0,3.0,58,11,477.03333333333336,1,1,0,0,1,0
8406,1.0,5,286.0,3.0,70,2,338.8333333333333,0,1,0,0,1,0
8413,4.0,7,471.0,58.0,85,4,54.2,1,1,0,0,0,0
8415,4.0,4,262.0,4.0,208,7,1294.1,0,1,0,0,0,0
8416,2.0,2,100.0,6.0,209,8,454.23333333333335,0,1,0,0,1,1
8419,2.0,3,128.0,1.0,44,9,571.0,0,0,0,1,0,0
8421,2.0,7,199.0,0.0,150,7,346.56666666666666,1,0,1,0,1,0
8423,5.0,2,121.0,1.0,23,5,2415.083333333333,0,1,0,0,1,0
8425,1.0,15,250.0,17.0,1,7,94.23333333333332,1,1,0,0,0,0
8426,1.0,5,0.0,0.0,167,6,1332.2666666666667,0,1,0,0,0,0
8427,3.0,3,156.0,1.0,23,4,41.9,0,1,0,0,1,0
8428,4.0,2,216.0,3.0,187,10,620.5333333333333,0,1,0,0,1,1
8429,2.0,4,228.0,6.0,212,10,231.15,0,1,0,0,1,1
8431,7.0,4,153.0,4.0,0,2,17.25,0,1,0,0,1,1
8433,5.0,2,126.0,0.0,10,4,741.9833333333332,0,1,0,0,0,0
8434,4.0,3,185.0,0.0,24,4,38.3,0,1,0,0,1,0
8437,5.0,2,184.0,18.0,24,6,11.833333333333336,0,1,0,0,1,0
8439,1.0,2,317.0,10.0,10,1,0.0,0,0,1,0,0,0
8440,2.0,2,473.0,0.0,137,14,583.65,0,1,0,0,1,0
8442,2.0,3,138.0,0.0,96,4,669.0166666666668,0,0,1,0,0,1
8443,3.0,6,296.0,1.0,65,2,38.1,0,1,0,0,1,1
8444,2.0,3,201.0,2.0,224,5,106.56666666666666,1,1,0,0,1,0
8445,4.0,8,266.0,2.0,6,9,364.1833333333333,0,1,0,0,1,1
8447,3.0,3,316.0,0.0,23,4,1649.666666666667,1,1,0,0,1,0
8448,3.0,7,161.0,19.0,86,6,8.733333333333333,0,1,0,0,1,1
8449,1.0,7,129.0,15.0,0,1,24.266666666666666,0,1,0,0,0,1
8454,2.0,4,184.0,3.0,31,3,1336.6333333333334,0,1,0,0,1,1
8459,4.0,8,660.0,36.0,18,4,80.01666666666667,0,1,0,0,1,0
8460,5.0,3,41.0,1.0,65,4,3771.9,0,1,0,0,1,1
8463,1.0,12,147.0,5.0,37,31,653.2166666666667,1,1,0,0,1,1
8465,4.0,2,0.0,3.0,28,3,190.35,0,0,1,0,0,1
8466,2.0,3,158.0,6.0,50,5,484.65,1,1,0,0,1,0
8467,3.0,3,249.0,0.0,0,5,44.8,1,1,0,0,1,1
8468,5.0,4,236.0,0.0,85,4,41708.23333333333,1,1,0,0,1,1
8469,1.0,3,855.0,0.0,64,20,1249.7333333333333,0,0,1,0,1,0
8471,2.0,2,97.0,130.0,30,5,0.0,0,0,1,0,1,0
8472,4.0,8,290.0,49.0,45,3,1.2833333333333334,1,1,0,0,1,1
8473,1.0,7,26.0,0.0,0,1,5103.8,0,1,0,0,1,1
8476,3.0,2,88.0,0.0,22,4,14.916666666666664,0,1,0,0,1,0
8479,8.0,2,131.0,0.0,11,5,623.2,0,0,1,0,1,0
8482,2.0,4,4.0,2.0,202,6,942.1666666666665,0,0,1,0,0,0
8483,1.0,4,149.0,0.0,167,7,686.9833333333332,0,0,1,0,1,0
8487,7.0,45,451.0,12.0,3,2,2.5,1,1,0,0,1,0
8488,4.0,6,213.0,0.0,57,2,250.35,0,1,0,0,0,1
8489,2.0,12,273.0,5.0,27,5,702.5,1,1,0,0,0,0
8490,3.0,2,180.0,11.0,200,4,3942.2,0,1,0,0,1,1
8492,2.0,2,12.0,0.0,123,5,29931.2,0,0,1,0,0,0
8494,1.0,2,92.0,2.0,29,4,786.9166666666665,0,0,1,0,1,1
8495,4.0,3,389.0,0.0,27,32,12.4,0,1,0,0,0,0
8496,6.0,2,5.0,0.0,54,3,970.2333333333332,0,1,0,0,0,0
8499,2.0,2,179.0,5.0,0,2,1582.716666666667,0,0,1,0,1,0
8500,2.0,5,138.0,3.0,23,3,386.56666666666666,0,1,0,0,1,0
8503,2.0,6,89.0,1.0,100,4,5134.85,1,0,1,0,1,1
8506,3.0,3,127.0,0.0,130,22,10.416666666666666,0,1,0,0,1,0
